,job,link
34,[키움증권] 재무팀 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13870&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
35,[KTB투자증권] 고객만족센터 신입 및 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13869&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
36,[바로자산운용]투자운용본부 투자운용부문 신입(경력) 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13868&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
37,교보악사자산운용 채널영업본부 영업지원 인력 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13866&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
38,이지스자산운용 글로벌투자부문 펀드운용팀 대리~과장급 O명,http://www.kofia.or.kr/brd/m_96/view.do?seq=13864&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
39,[서울신용평가] 경영지원실 재무회계담당 정규직 공개채용 모집공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13863&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=4
40,[NH-Amundi자산운용]대체투자부문 부동산운용본부 경력직원 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13862&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
41,[우리은행] 신탁부 전문직(특정금전신탁 자금운용) 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13861&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
42,[DB자산운용] 대체투자운용본부 경력사원 채용의 건,http://www.kofia.or.kr/brd/m_96/view.do?seq=13860&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
43,[KB증권] 채권영업부 경력직원 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13859&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
44,"[DGB자산운용] 주식형 펀드운용, 리서치 채용 공고",http://www.kofia.or.kr/brd/m_96/view.do?seq=13858&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
45,[리치먼드자산운용] 준법감시인 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13857&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
46,[안다자산운용] 대체투자본부 경력직 모집,http://www.kofia.or.kr/brd/m_96/view.do?seq=13856&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
47,[스마일게이트자산운용] 애널리스트 신입(채용연계형인턴) 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13855&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
48,[스마일게이트자산운용] 보조운용역 신입(채용연계형인턴) 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13854&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
49,[파인아시아자산운용] 운용지원팀 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13853&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=5
50,"[유진투자증권] 랩운용팀 경력직원 채용(랩어카운트, UMA개발 담당자)",http://www.kofia.or.kr/brd/m_96/view.do?seq=13851&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
51,[화인자산운용] 컴플라이언스 & 경영지원(회계세무업무) 담당자 모집,http://www.kofia.or.kr/brd/m_96/view.do?seq=13850&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
52,[파인트리자산운용] 기업투자팀 신입채용(중국어가능자 우대),http://www.kofia.or.kr/brd/m_96/view.do?seq=13849&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
53,[키움투자자산운용] 마케팅본부 상품전략팀 팀원 모집 (신입~경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13848&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
54,[신한은행] 투자상품 기획-분석-관리 전문인력 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13847&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
55,KB국민은행 「일반사무관리(IT)」 전문직무직원 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13845&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
56,[이스트스프링자산운용] 채권운용본부 채권운용팀 (팀장포지션) 1명 (기간연장),http://www.kofia.or.kr/brd/m_96/view.do?seq=13843&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
57,[메리츠증권] 리테일지원팀 채용공고 (경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13842&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
58,[메리츠증권] 부산금융센터 업무직 채용공고 (신입/경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13841&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
59,[신한은행] 산업 리서치 전문인력 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13840&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=6
60,[우리은행] 자산관리그룹 리스크매니저(전문직) 채용 공고(기간연장),http://www.kofia.or.kr/brd/m_96/view.do?seq=13839&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
61,[DGB자산운용] 주식운용본부 채용 공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13838&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
62,[DS투자증권] 준법감시팀 팀장급 (과장급 ~ 부장급) 채용 공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13837&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
63,[브라이트투자자문] 각 부문별 채용공고(경영관리/운용인력/리서치) ,http://www.kofia.or.kr/brd/m_96/view.do?seq=13836&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
64,[V&S자산운용] Research Assistant 모집,http://www.kofia.or.kr/brd/m_96/view.do?seq=13835&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
65,[아이디어브릿지자산운용] 투자팀 팀장 /팀원 채용공고 (~12.9.일),http://www.kofia.or.kr/brd/m_96/view.do?seq=13834&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
66,[흥국증권] 회계업무 경력직 모집공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13833&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
67,[흥국증권] 기획팀 경력직 모집공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13832&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
68,[스마일게이트자산운용] 부동산 투자 실무자(경력) 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13831&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
69,[링크자산운용]주식운용 채용공고(신입/인턴),http://www.kofia.or.kr/brd/m_96/view.do?seq=13830&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=7
70,[하이투자증권] 결제업무 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13828&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
71,"[교보증권] 지점업무 경력직(대전, 청주지역) 채용공고",http://www.kofia.or.kr/brd/m_96/view.do?seq=13827&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
72,[엠플러스자산운용] 부동산운용부문 채용 공고(재업),http://www.kofia.or.kr/brd/m_96/view.do?seq=13825&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
73,[이지스자산운용] Asset Management부문 팀원(대리-과/차장급) O명 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13824&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
74,[한양증권] 영업추진부 경력직원 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13823&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
75,[한양증권] 콜센터 고객상담원 채용(경력직),http://www.kofia.or.kr/brd/m_96/view.do?seq=13822&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
76,[신한BNP파리바자산운용] 방폐기금전담운용팀 채용공고 (과장-차장급),http://www.kofia.or.kr/brd/m_96/view.do?seq=13821&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
77,[유안타증권]IT부문 신입/경력직원 모집,http://www.kofia.or.kr/brd/m_96/view.do?seq=13819&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
78,[브이아이피자산운용] 주식운용본부 멀티전략팀 인턴 채용_일어능통자 (~12/13까지),http://www.kofia.or.kr/brd/m_96/view.do?seq=13818&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
79,[브이아이피자산운용] 주식운용본부 멀티전략팀 인턴 채용_영어능통자 (~12/13까지),http://www.kofia.or.kr/brd/m_96/view.do?seq=13817&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=8
80,트러스톤자산운용(주) 리서치 채용공고(인턴),http://www.kofia.or.kr/brd/m_96/view.do?seq=13816&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
81,[하나펀드서비스] 부문별 신입/경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13815&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
82,하나금융투자 경력직 인재 채용(리스크관리/데이터전략/지원,http://www.kofia.or.kr/brd/m_96/view.do?seq=13814&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
83,RG자산운용 경력사원 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13813&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
84,[릴라이언자산운용]펀드회계 경력직 채용(대리~과장급),http://www.kofia.or.kr/brd/m_96/view.do?seq=13812&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
85,[릴라이언자산운용] 투자개발본부 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13811&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
86,[릴라이언자산운용] 투자운용팀 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13810&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
87,[메리츠증권] 리서치센터 RA 채용공고 (신입/경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13809&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
88,[이스트스프링자산운용] 법인영업팀 차/부장급,http://www.kofia.or.kr/brd/m_96/view.do?seq=13808&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
89,[파란자산운용] 투자운용팀 리서치인력 채용공고 (인턴 및 경력직),http://www.kofia.or.kr/brd/m_96/view.do?seq=13806&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=9
90,[한국대체투자자산운용] 부문별 경력직 채용 공고. (재업),http://www.kofia.or.kr/brd/m_96/view.do?seq=13805&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
91,교보악사자산운용 ESG애널리스트 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13804&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
92,[토스증권] 금융소비자보호책임자 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13803&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
93,[우리글로벌자산운용] 경영관리팀 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13802&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
94,[하나대체투자자산운용] 대체자산 리서치/경영기획 경력직원 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13801&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
95,[스카이펀드서비스] 사무수탁시스템 IT업무_개발/운영 (경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13800&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
96,[이스트스프링자산운용] 채권운용본부 채권운용팀 부장급,http://www.kofia.or.kr/brd/m_96/view.do?seq=13799&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
97,[유진투자선물]선물영업 신입사원 채용 공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13798&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
98,[로보피아투자자문(주)] 신입 및 경력직원 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13796&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
99,[IBK자산운용(주)] 경영전략본부 경영관리팀 경력직,http://www.kofia.or.kr/brd/m_96/view.do?seq=13795&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=10
